Region,year,polluted_dumps,not_cleaned_dumps,dumps_not_cleaned_enough,num_clearing_plants
Луганська,2016,19,2,17,301
Львівська,2016,46,2,44,270
Миколаївська,2016,22,−,22,53
Одеська,2016,29,25,4,282
Полтавська,2016,3,−,3,89
Рівненська,2016,5,−,5,116
Сумська,2016,24,0,24,86
Тернопільська,2016,2,0,2,51
Харківська,2016,10,5,5,506
Херсонська,2016,1,1,0,104
Хмельницька,2016,0,−,0,139
Черкаська,2016,7,1,6,89
Чернівецька,2016,2,1,1,70
Чернігівська,2016,6,−,6,64
Автономна Республіка Крим,2017,…,…,…,…
Вінницька,2017,1,1,1,102
Волинська,2017,0,0,0,83
Дніпропетровська,2017,230,230,131,897
Донецька,2017,200,200,200,688
Житомирська,2017,2,2,2,102
Закарпатська,2017,4,4,4,50
Запорізька,2017,64,64,64,417
Івано-Франківська,2017,1,1,1,111
Київська,2017,2,2,2,156
Кіровоградська,2017,1,1,1,70
Луганська,2017,18,18,17,179
Львівська,2017,71,71,70,278
Миколаївська,2017,22,22,22,53
Одеська,2017,33,33,4,280
Полтавська,2017,2,2,2,68
Рівненська,2017,4,4,4,116
Сумська,2017,23,23,23,84
Тернопільська,2017,3,3,2,51
Харківська,2017,10,10,5,504
Херсонська,2017,1,1,0,105
Хмельницька,2017,1,1,1,147
Черкаська,2017,4,4,3,83
Чернівецька,2017,2,2,1,70
Чернігівська,2017,14,14,14,64
Автономна Республіка Крим,2018,…,…,…,…
Вінницька,2018,1,1,1,101
Волинська,2018,0,0,−,83
Дніпропетровська,2018,234,234,140,895
Донецька,2018,186,186,186,690
Житомирська,2018,2,2,2,102
Закарпатська,2018,4,4,3,50
Запорізька,2018,66,66,66,417
Івано-Франківська,2018,1,1,1,124
Київська,2018,2,2,2,139
Кіровоградська,2018,3,3,3,69
Луганська,2018,18,18,17,180
Львівська,2018,42,42,41,279
Миколаївська,2018,21,21,21,53
Одеська,2018,15,15,3,279
Полтавська,2018,2,2,2,50
Рівненська,2018,4,4,4,117
Сумська,2018,23,23,23,84
Тернопільська,2018,3,3,2,51
Харківська,2018,14,14,5,503
Херсонська,2018,2,2,0,100
Хмельницька,2018,1,1,1,144
Черкаська,2018,7,7,6,84
Чернівецька,2018,2,2,1,66
Чернігівська,2018,16,16,16,61
Автономна Республіка Крим,2019,…,…,…,…
Вінницька,2019,1,1,1,99
Волинська,2019,0,0,0,83
Дніпропетровська,2019,200,200,125,883
Донецька,2019,45,45,45,854
Житомирська,2019,2,2,2,102
Закарпатська,2019,3,3,2,50
Запорізька,2019,11,11,11,420
Івано-Франківська,2019,1,1,1,113
Київська,2019,2,2,2,139
Кіровоградська,2019,3,3,3,68
